,Approximate Salary,Count of Jobs in that salary range,Category
1468,120000,50,Mechanical engineer
1469,60000,55,Mechanical engineer
1470,20000,1,Media analyst
1471,140000,3,Media analyst
1472,100000,0,Media analyst
1473,80000,3,Media analyst
1474,60000,0,Media analyst
1475,40000,0,Media analyst
1476,120000,1,Media analyst
1477,40000,0,Media buyer
1478,60000,5,Media buyer
1479,80000,0,Media buyer
1480,120000,0,Media buyer
1481,20000,0,Media buyer
1482,140000,0,Media buyer
1483,100000,0,Media buyer
1484,140000,0,Media planner
1485,100000,0,Media planner
1486,120000,0,Media planner
1487,40000,0,Media planner
1488,80000,0,Media planner
1489,20000,0,Media planner
1490,60000,2,Media planner
1491,20000,0,Medical physicist
1492,140000,0,Medical physicist
1493,80000,0,Medical physicist
1494,60000,0,Medical physicist
1495,40000,0,Medical physicist
1496,120000,0,Medical physicist
1497,100000,1,Medical physicist
1498,80000,0,Medical representative
1499,120000,0,Medical representative
1500,60000,1,Medical representative
1501,100000,0,Medical representative
1502,20000,20,Medical representative
1503,140000,0,Medical representative
1504,40000,5,Medical representative
1505,40000,17,Mental health nurse
1506,60000,48,Mental health nurse
1507,80000,84,Mental health nurse
1508,120000,2,Mental health nurse
1509,20000,22,Mental health nurse
1510,140000,12,Mental health nurse
1511,100000,23,Mental health nurse
1512,120000,0,Metallurgist
1513,80000,1,Metallurgist
1514,140000,0,Metallurgist
1515,40000,0,Metallurgist
1516,60000,0,Metallurgist
1517,100000,0,Metallurgist
1518,20000,0,Metallurgist
1519,20000,0,Meteorologist
1520,140000,0,Meteorologist
1521,100000,0,Meteorologist
1522,40000,0,Meteorologist
1523,60000,0,Meteorologist
1524,80000,0,Meteorologist
1525,120000,0,Meteorologist
1526,60000,0,Microbiologist
1527,40000,1,Microbiologist
1528,80000,0,Microbiologist
1529,120000,1,Microbiologist
1530,140000,0,Microbiologist
1531,20000,5,Microbiologist
1532,100000,1,Microbiologist
1533,120000,0,Midwife
1534,40000,1,Midwife
1535,140000,0,Midwife
1536,100000,0,Midwife
1537,60000,0,Midwife
1538,80000,0,Midwife
1539,20000,1,Midwife
1540,120000,0,Mining engineer
1541,40000,1,Mining engineer
1542,60000,1,Mining engineer
1543,80000,0,Mining engineer
1544,100000,2,Mining engineer
1545,20000,1,Mining engineer
1546,140000,1,Mining engineer
1547,100000,41,Mobile developer
1548,140000,43,Mobile developer
1549,120000,21,Mobile developer
1550,40000,14,Mobile developer
1551,80000,12,Mobile developer
1552,20000,1,Mobile developer
1553,60000,6,Mobile developer
1554,120000,0,Multimedia programmer
1555,40000,0,Multimedia programmer
1556,80000,0,Multimedia programmer
1557,60000,0,Multimedia programmer
1558,100000,0,Multimedia programmer
1559,20000,0,Multimedia programmer
1560,140000,0,Multimedia programmer
1561,80000,0,Multimedia specialists
1562,120000,0,Multimedia specialists
1563,100000,0,Multimedia specialists
1564,20000,0,Multimedia specialists
1565,60000,0,Multimedia specialists
1566,40000,0,Multimedia specialists
1567,140000,0,Multimedia specialists
1568,120000,0,Museum education officer
1569,40000,0,Museum education officer
1570,140000,0,Museum education officer
1571,100000,0,Museum education officer
1572,60000,0,Museum education officer
1573,20000,0,Museum education officer
1574,80000,0,Museum education officer
1575,20000,0,Museum/gallery exhibition officer
1576,140000,0,Museum/gallery exhibition officer
1577,60000,0,Museum/gallery exhibition officer
1578,100000,0,Museum/gallery exhibition officer
1579,120000,0,Museum/gallery exhibition officer
1580,80000,0,Museum/gallery exhibition officer
1581,40000,0,Museum/gallery exhibition officer
1582,120000,0,Music therapist
1583,80000,0,Music therapist
1584,140000,0,Music therapist
1585,40000,0,Music therapist
1586,100000,0,Music therapist
1587,60000,0,Music therapist
1588,20000,0,Music therapist
1589,120000,0,Nanoscientist
1590,40000,0,Nanoscientist
1591,100000,0,Nanoscientist
1592,140000,0,Nanoscientist
1593,20000,0,Nanoscientist
1594,80000,0,Nanoscientist
1595,60000,0,Nanoscientist
1596,140000,0,Nature conservation officer
1597,100000,0,Nature conservation officer
1598,120000,0,Nature conservation officer
1599,40000,0,Nature conservation officer
1600,60000,0,Nature conservation officer
1601,20000,0,Nature conservation officer
1602,80000,0,Nature conservation officer
1603,100000,0,Naval architect
1604,140000,0,Naval architect
1605,20000,0,Naval architect
1606,120000,0,Naval architect
1607,60000,0,Naval architect
1608,40000,0,Naval architect
1609,80000,0,Naval architect
1610,60000,12,Network administrator
1611,20000,8,Network administrator
1612,80000,10,Network administrator
1613,140000,8,Network administrator
1614,100000,18,Network administrator
1615,120000,9,Network administrator
1616,40000,13,Network administrator
1617,80000,2237,Nurse
1618,20000,1075,Nurse
1619,60000,1693,Nurse
1620,120000,621,Nurse
1621,40000,1153,Nurse
1622,140000,376,Nurse
1623,100000,1310,Nurse
1624,40000,1,Nutritional therapist
1625,120000,0,Nutritional therapist
1626,60000,0,Nutritional therapist
1627,100000,0,Nutritional therapist
1628,80000,1,Nutritional therapist
1629,140000,0,Nutritional therapist
1630,20000,1,Nutritional therapist
1631,60000,9,Nutritionist
1632,20000,8,Nutritionist
1633,80000,0,Nutritionist
1634,40000,1,Nutritionist
1635,120000,1,Nutritionist
1636,140000,2,Nutritionist
1637,100000,4,Nutritionist
1638,40000,4,Occupational therapist
1639,120000,0,Occupational therapist
1640,80000,16,Occupational therapist
1641,20000,6,Occupational therapist
1642,60000,38,Occupational therapist
1643,100000,1,Occupational therapist
1644,140000,1,Occupational therapist
1645,40000,0,Oceanographer
1646,120000,1,Oceanographer
1647,60000,0,Oceanographer
1648,80000,0,Oceanographer
1649,20000,0,Oceanographer
1650,100000,0,Oceanographer
1651,140000,0,Oceanographer
1652,80000,53,Office manager
1653,100000,42,Office manager
1654,60000,70,Office manager
1655,120000,25,Office manager
1656,20000,296,Office manager
1657,140000,25,Office manager
1658,40000,152,Office manager
1659,80000,6,Operational researcher
1660,60000,8,Operational researcher
1661,40000,7,Operational researcher
1662,120000,3,Operational researcher
1663,140000,7,Operational researcher
1664,20000,15,Operational researcher
1665,100000,4,Operational researcher
1666,120000,0,Orthoptist
1667,80000,0,Orthoptist
1668,140000,0,Orthoptist
1669,40000,0,Orthoptist
1670,100000,0,Orthoptist
1671,60000,0,Orthoptist
1672,20000,0,Orthoptist
1673,20000,0,Outdoor pursuits manager
1674,140000,0,Outdoor pursuits manager
1675,100000,0,Outdoor pursuits manager
1676,40000,0,Outdoor pursuits manager
1677,80000,0,Outdoor pursuits manager
1678,60000,0,Outdoor pursuits manager
1679,120000,0,Outdoor pursuits manager
1680,20000,0,Packaging technologist
1681,120000,0,Packaging technologist
1682,60000,0,Packaging technologist
1683,100000,0,Packaging technologist
1684,140000,0,Packaging technologist
1685,40000,0,Packaging technologist
1686,80000,0,Packaging technologist
1687,40000,14,Paramedic
1688,120000,0,Paramedic
1689,100000,3,Paramedic
1690,60000,44,Paramedic
1691,20000,13,Paramedic
1692,80000,5,Paramedic
1693,140000,1,Paramedic
1694,40000,0,Patent attorney
1695,80000,0,Patent attorney
1696,60000,0,Patent attorney
1697,100000,0,Patent attorney
1698,120000,0,Patent attorney
1699,20000,0,Patent attorney
1700,140000,3,Patent attorney
1701,40000,0,Patent examiner
1702,120000,0,Patent examiner
1703,100000,0,Patent examiner
1704,140000,0,Patent examiner
1705,20000,0,Patent examiner
1706,80000,0,Patent examiner
1707,60000,0,Patent examiner
1708,60000,0,Pension scheme manager
1709,120000,0,Pension scheme manager
1710,100000,0,Pension scheme manager
1711,80000,0,Pension scheme manager
1712,140000,0,Pension scheme manager
1713,20000,0,Pension scheme manager
1714,40000,0,Pension scheme manager
1715,120000,0,Personal assistant
1716,40000,0,Personal assistant
1717,60000,0,Personal assistant
1718,80000,0,Personal assistant
1719,100000,0,Personal assistant
1720,140000,0,Personal assistant
1721,20000,2,Personal assistant
1722,40000,0,Petroleum engineer
1723,80000,0,Petroleum engineer
1724,100000,0,Petroleum engineer
1725,120000,0,Petroleum engineer
1726,60000,0,Petroleum engineer
1727,140000,0,Petroleum engineer
1728,20000,0,Petroleum engineer
1729,100000,5,Pharmacist
1730,20000,129,Pharmacist
1731,140000,13,Pharmacist
1732,120000,5,Pharmacist
1733,40000,50,Pharmacist
1734,80000,10,Pharmacist
1735,60000,25,Pharmacist
1736,40000,0,Pharmacologist
1737,140000,0,Pharmacologist
1738,20000,0,Pharmacologist
1739,100000,1,Pharmacologist
1740,60000,5,Pharmacologist
1741,120000,0,Pharmacologist
1742,80000,0,Pharmacologist
1743,60000,0,Pharmacovigilance officer
1744,20000,0,Pharmacovigilance officer
1745,140000,0,Pharmacovigilance officer
1746,80000,0,Pharmacovigilance officer
1747,100000,0,Pharmacovigilance officer
1748,40000,0,Pharmacovigilance officer
1749,120000,0,Pharmacovigilance officer
1750,100000,11,Photographer
1751,40000,25,Photographer
1752,120000,9,Photographer
1753,60000,20,Photographer
1754,20000,68,Photographer
1755,140000,7,Photographer
1756,80000,8,Photographer
1757,140000,0,Physiotherapist
1758,20000,0,Physiotherapist
1759,80000,0,Physiotherapist
1760,60000,0,Physiotherapist
1761,40000,0,Physiotherapist
1762,120000,0,Physiotherapist
1763,100000,0,Physiotherapist
1764,40000,0,Picture researcher
1765,80000,0,Picture researcher
1766,100000,0,Picture researcher
1767,140000,0,Picture researcher
1768,60000,0,Picture researcher
1769,120000,0,Picture researcher
1770,20000,1,Picture researcher
1771,120000,0,Planning and development surveyor
1772,40000,0,Planning and development surveyor
1773,100000,0,Planning and development surveyor
1774,80000,0,Planning and development surveyor
1775,140000,0,Planning and development surveyor
1776,20000,0,Planning and development surveyor
1777,60000,0,Planning and development surveyor
1778,80000,0,Planning technician
1779,40000,35,Planning technician
1780,60000,10,Planning technician
1781,120000,0,Planning technician
1782,20000,10,Planning technician
1783,140000,0,Planning technician
1784,100000,0,Planning technician
1785,140000,0,Plant breeder
1786,100000,0,Plant breeder
1787,40000,0,Plant breeder
1788,120000,0,Plant breeder
1789,60000,0,Plant breeder
1790,20000,0,Plant breeder
1791,80000,0,Plant breeder
1792,60000,7,Police officer
1793,40000,18,Police officer
1794,80000,0,Police officer
1795,120000,0,Police officer
1796,20000,23,Police officer
1797,140000,0,Police officer
1798,100000,0,Police officer
1799,40000,0,Political party agent
1800,60000,0,Political party agent
1801,120000,0,Political party agent
1802,100000,0,Political party agent
1803,80000,0,Political party agent
1804,20000,0,Political party agent
1805,140000,0,Political party agent
1806,40000,1,Political researcher
1807,120000,0,Political researcher
1808,140000,0,Political researcher
1809,100000,0,Political researcher
1810,20000,0,Political researcher
1811,80000,0,Political researcher
1812,60000,0,Political researcher
1813,140000,33,Practice nurse
1814,20000,115,Practice nurse
1815,100000,41,Practice nurse
1816,40000,271,Practice nurse
1817,80000,84,Practice nurse
1818,60000,206,Practice nurse
1819,120000,23,Practice nurse
1820,40000,0,Press photographer
1821,20000,0,Press photographer
1822,140000,0,Press photographer
1823,80000,0,Press photographer
1824,100000,0,Press photographer
1825,120000,0,Press photographer
1826,60000,0,Press photographer
1827,100000,0,Press sub-editor
1828,40000,0,Press sub-editor
1829,120000,0,Press sub-editor
1830,60000,0,Press sub-editor
1831,20000,0,Press sub-editor
1832,140000,0,Press sub-editor
1833,80000,0,Press sub-editor
1834,140000,0,Prison officer
1835,20000,0,Prison officer
1836,80000,0,Prison officer
1837,60000,0,Prison officer
1838,40000,1,Prison officer
1839,120000,0,Prison officer
1840,100000,0,Prison officer
1841,20000,0,Private music teacher
1842,60000,0,Private music teacher
1843,100000,0,Private music teacher
1844,140000,0,Private music teacher
1845,40000,0,Private music teacher
1846,80000,0,Private music teacher
1847,120000,0,Private music teacher
1848,140000,0,Probation officer
1849,100000,0,Probation officer
1850,60000,1,Probation officer
1851,80000,1,Probation officer
1852,20000,9,Probation officer
1853,120000,0,Probation officer
1854,40000,6,Probation officer
1855,100000,0,Product development scientist
1856,20000,0,Product development scientist
1857,140000,1,Product development scientist
1858,120000,1,Product development scientist
1859,40000,0,Product development scientist
1860,60000,0,Product development scientist
1861,80000,0,Product development scientist
1862,120000,21,Production manager
1863,80000,80,Production manager
1864,40000,100,Production manager
1865,140000,11,Production manager
1866,20000,380,Production manager
1867,60000,143,Production manager
1868,100000,87,Production manager
1869,20000,16,Programme researcher
1870,80000,17,Programme researcher
1871,60000,11,Programme researcher
1872,100000,6,Programme researcher
1873,140000,6,Programme researcher
1874,40000,14,Programme researcher
1875,120000,6,Programme researcher
1876,120000,387,Project manager
1877,80000,830,Project manager
1878,60000,686,Project manager
1879,40000,484,Project manager
1880,100000,632,Project manager
1881,20000,413,Project manager
1882,140000,328,Project manager
1883,100000,0,Psychologist (clinical): job descriptions Psychologist (educational)
1884,20000,0,Psychologist (clinical): job descriptions Psychologist (educational)
1885,140000,0,Psychologist (clinical): job descriptions Psychologist (educational)
1886,120000,0,Psychologist (clinical): job descriptions Psychologist (educational)
1887,60000,0,Psychologist (clinical): job descriptions Psychologist (educational)
1888,40000,0,Psychologist (clinical): job descriptions Psychologist (educational)
1889,80000,0,Psychologist (clinical): job descriptions Psychologist (educational)
1890,140000,0,Psychotherapist
1891,100000,0,Psychotherapist
1892,20000,0,Psychotherapist
1893,80000,0,Psychotherapist
1894,60000,0,Psychotherapist
1895,120000,0,Psychotherapist
1896,40000,0,Psychotherapist
1897,140000,0,Public affairs consultant (lobbyist)
1898,100000,0,Public affairs consultant (lobbyist)
1899,40000,0,Public affairs consultant (lobbyist)
1900,120000,0,Public affairs consultant (lobbyist)
1901,60000,0,Public affairs consultant (lobbyist)
1902,20000,0,Public affairs consultant (lobbyist)
1903,80000,0,Public affairs consultant (lobbyist)
1904,40000,0,Public affairs consultant (research)
1905,120000,0,Public affairs consultant (research)
1906,140000,0,Public affairs consultant (research)
1907,100000,0,Public affairs consultant (research)
1908,20000,0,Public affairs consultant (research)
1909,80000,0,Public affairs consultant (research)
1910,60000,0,Public affairs consultant (research)
1911,40000,0,Public house manager
1912,80000,0,Public house manager
1913,60000,0,Public house manager
1914,120000,0,Public house manager
1915,20000,0,Public house manager
1916,140000,0,Public house manager
1917,100000,0,Public house manager
1918,120000,0,Public librarian
1919,40000,0,Public librarian
1920,60000,0,Public librarian
1921,80000,0,Public librarian
1922,100000,0,Public librarian
1923,20000,0,Public librarian
1924,140000,0,Public librarian
1925,140000,0,Public relations (PR) officer
1926,80000,0,Public relations (PR) officer
1927,60000,0,Public relations (PR) officer
1928,20000,0,Public relations (PR) officer
1929,100000,0,Public relations (PR) officer
1930,120000,0,Public relations (PR) officer
1931,40000,0,Public relations (PR) officer
1932,140000,3,QA analyst
1933,20000,0,QA analyst
1934,80000,3,QA analyst
1935,60000,2,QA analyst
1936,40000,2,QA analyst
1937,120000,1,QA analyst
1938,100000,0,QA analyst
1939,120000,10,Quality assurance manager
1940,40000,8,Quality assurance manager
1941,100000,5,Quality assurance manager
1942,140000,3,Quality assurance manager
1943,20000,9,Quality assurance manager
1944,80000,14,Quality assurance manager
1945,60000,4,Quality assurance manager
1946,40000,0,Quantity surveyor
1947,80000,0,Quantity surveyor
1948,100000,0,Quantity surveyor
1949,60000,0,Quantity surveyor
1950,120000,1,Quantity surveyor
1951,20000,0,Quantity surveyor
1952,140000,0,Quantity surveyor
1953,100000,16,Records manager
1954,140000,31,Records manager
1955,40000,59,Records manager
1956,120000,13,Records manager
1957,60000,32,Records manager
1958,20000,122,Records manager
1959,80000,14,Records manager
1960,40000,13,Recruitment consultant
1961,120000,0,Recruitment consultant
1962,100000,2,Recruitment consultant
1963,140000,1,Recruitment consultant
1964,20000,12,Recruitment consultant
1965,80000,0,Recruitment consultant
1966,60000,8,Recruitment consultant
1967,80000,0,Recycling officer
1968,120000,0,Recycling officer
1969,60000,0,Recycling officer
1970,100000,0,Recycling officer
1971,20000,3,Recycling officer
1972,140000,0,Recycling officer
1973,40000,0,Recycling officer
1974,100000,0,Regulatory affairs officer
1975,140000,0,Regulatory affairs officer
1976,40000,0,Regulatory affairs officer
1977,120000,0,Regulatory affairs officer
1978,60000,0,Regulatory affairs officer
1979,20000,0,Regulatory affairs officer
1980,80000,0,Regulatory affairs officer
1981,20000,2,Research chemist
1982,60000,1,Research chemist
1983,100000,0,Research chemist
1984,40000,1,Research chemist
1985,140000,0,Research chemist
1986,80000,0,Research chemist
1987,120000,0,Research chemist
1988,140000,9,Research scientist
1989,100000,16,Research scientist
1990,40000,8,Research scientist
1991,120000,7,Research scientist
1992,60000,11,Research scientist
1993,20000,14,Research scientist
1994,80000,8,Research scientist
1995,100000,12,Restaurant manager
1996,20000,462,Restaurant manager
1997,140000,6,Restaurant manager
1998,120000,8,Restaurant manager
1999,40000,1624,Restaurant manager
2000,60000,602,Restaurant manager
2001,80000,108,Restaurant manager
2002,40000,0,Retail banker
2003,120000,0,Retail banker
2004,100000,0,Retail banker
2005,20000,0,Retail banker
2006,60000,0,Retail banker
2007,80000,0,Retail banker
2008,140000,0,Retail banker
2009,20000,0,Retail buyer
2010,140000,0,Retail buyer
2011,80000,0,Retail buyer
2012,60000,0,Retail buyer
2013,40000,0,Retail buyer
2014,120000,0,Retail buyer
2015,100000,0,Retail buyer
2016,20000,158,Retail manager
2017,140000,3,Retail manager
2018,60000,42,Retail manager
2019,100000,5,Retail manager
2020,120000,3,Retail manager
2021,80000,3,Retail manager
2022,40000,71,Retail manager
2023,20000,276,Retail merchandiser
2024,140000,0,Retail merchandiser
2025,100000,0,Retail merchandiser
2026,40000,4,Retail merchandiser
2027,60000,2,Retail merchandiser
2028,80000,1,Retail merchandiser
2029,120000,0,Retail merchandiser
2030,100000,0,Retail pharmacist
2031,140000,0,Retail pharmacist
2032,20000,9,Retail pharmacist
2033,120000,0,Retail pharmacist
2034,80000,1,Retail pharmacist
2035,60000,0,Retail pharmacist
2036,40000,0,Retail pharmacist
2037,140000,35,Sales executive
2038,100000,30,Sales executive
2039,40000,56,Sales executive
2040,120000,14,Sales executive
2041,60000,71,Sales executive
2042,20000,55,Sales executive
2043,80000,114,Sales executive
2044,40000,0,Scene of crime officer
2045,120000,0,Scene of crime officer
2046,20000,0,Scene of crime officer
2047,60000,0,Scene of crime officer
2048,80000,0,Scene of crime officer
2049,100000,0,Scene of crime officer
2050,140000,0,Scene of crime officer
2051,60000,19,Secretary
2052,80000,4,Secretary
2053,20000,418,Secretary
2054,140000,4,Secretary
2055,100000,1,Secretary
2056,120000,0,Secretary
2057,40000,41,Secretary
2058,100000,0,Seismic interpreter
2059,20000,0,Seismic interpreter
2060,140000,0,Seismic interpreter
2061,120000,0,Seismic interpreter
2062,60000,0,Seismic interpreter
2063,40000,0,Seismic interpreter
2064,80000,0,Seismic interpreter
2065,60000,17,Site engineer
2066,80000,11,Site engineer
2067,40000,3,Site engineer
2068,120000,12,Site engineer
2069,140000,7,Site engineer
2070,20000,4,Site engineer
2071,100000,7,Site engineer
2072,120000,34,Site manager
2073,80000,80,Site manager
2074,140000,20,Site manager
2075,40000,65,Site manager
2076,60000,82,Site manager
2077,20000,116,Site manager
2078,100000,77,Site manager
2079,120000,0,Social researcher
2080,80000,1,Social researcher
2081,140000,0,Social researcher
2082,40000,2,Social researcher
2083,20000,6,Social researcher
2084,100000,1,Social researcher
2085,60000,5,Social researcher
2086,120000,5,Social worker
2087,40000,47,Social worker
2088,100000,24,Social worker
2089,80000,102,Social worker
2090,20000,46,Social worker
2091,140000,7,Social worker
2092,60000,83,Social worker
2093,100000,176,Software developer
2094,20000,224,Software developer
2095,140000,280,Software developer
2096,120000,197,Software developer
2097,40000,54,Software developer
2098,80000,135,Software developer
2099,60000,68,Software developer
2100,140000,322,Software engineer
2101,40000,18,Software engineer
2102,20000,9,Software engineer
2103,60000,36,Software engineer
2104,100000,174,Software engineer
2105,120000,220,Software engineer
2106,80000,117,Software engineer
2107,40000,3,Soil scientist
2108,20000,0,Soil scientist
2109,140000,0,Soil scientist
2110,80000,1,Soil scientist
2111,100000,2,Soil scientist
2112,60000,1,Soil scientist
2113,120000,0,Soil scientist
2114,80000,0,Solicitor
2115,20000,0,Solicitor
2116,140000,0,Solicitor
2117,60000,0,Solicitor
2118,120000,0,Solicitor
2119,40000,1,Solicitor
2120,100000,0,Solicitor
2121,80000,0,Speech and language therapist
2122,60000,1,Speech and language therapist
2123,40000,2,Speech and language therapist
2124,120000,0,Speech and language therapist
2125,140000,0,Speech and language therapist
2126,20000,1,Speech and language therapist
2127,100000,0,Speech and language therapist
2128,100000,0,Sports coach
2129,120000,0,Sports coach
2130,40000,0,Sports coach
2131,60000,0,Sports coach
2132,80000,0,Sports coach
2133,20000,0,Sports coach
2134,140000,0,Sports coach
2135,20000,0,Sports development officer
2136,140000,0,Sports development officer
2137,100000,0,Sports development officer
2138,40000,0,Sports development officer
2139,80000,0,Sports development officer
2140,60000,0,Sports development officer
2141,120000,0,Sports development officer
2142,100000,0,Sports therapist
2143,60000,0,Sports therapist
2144,120000,0,Sports therapist
2145,80000,0,Sports therapist
2146,140000,0,Sports therapist
2147,20000,0,Sports therapist
2148,40000,0,Sports therapist
2149,40000,1,Statistician
2150,80000,0,Statistician
2151,60000,0,Statistician
2152,120000,2,Statistician
2153,20000,0,Statistician
2154,140000,2,Statistician
2155,100000,0,Statistician
2156,20000,0,Stockbroker
2157,140000,0,Stockbroker
2158,100000,0,Stockbroker
2159,40000,0,Stockbroker
2160,80000,0,Stockbroker
2161,60000,0,Stockbroker
2162,120000,0,Stockbroker
2163,120000,16,Structural engineer
2164,40000,6,Structural engineer
2165,140000,2,Structural engineer
2166,100000,30,Structural engineer
2167,20000,6,Structural engineer
2168,80000,39,Structural engineer
2169,60000,10,Structural engineer
2170,60000,7,Systems analyst
2171,140000,17,Systems analyst
2172,20000,7,Systems analyst
2173,80000,18,Systems analyst
2174,100000,17,Systems analyst
2175,40000,8,Systems analyst
2176,120000,11,Systems analyst
2177,60000,72,Systems developer
2178,80000,80,Systems developer
2179,20000,46,Systems developer
2180,100000,67,Systems developer
2181,140000,105,Systems developer
2182,120000,97,Systems developer
2183,40000,94,Systems developer
2184,20000,0,Tax inspector
2185,140000,0,Tax inspector
2186,100000,0,Tax inspector
2187,40000,0,Tax inspector
2188,80000,0,Tax inspector
2189,60000,0,Tax inspector
2190,120000,0,Tax inspector
2191,80000,0,Teacher (nursery/early years)
2192,120000,0,Teacher (nursery/early years)
2193,60000,0,Teacher (nursery/early years)
2194,20000,0,Teacher (nursery/early years)
2195,100000,0,Teacher (nursery/early years)
2196,40000,0,Teacher (nursery/early years)
2197,140000,0,Teacher (nursery/early years)
2198,140000,0,Teacher (primary)
2199,20000,305,Teacher (primary)
2200,80000,0,Teacher (primary)
2201,60000,1,Teacher (primary)
2202,40000,297,Teacher (primary)
2203,120000,0,Teacher (primary)
2204,100000,1,Teacher (primary)
2205,40000,1,Teacher (secondary)
2206,120000,0,Teacher (secondary)
2207,100000,0,Teacher (secondary)
2208,140000,0,Teacher (secondary)
2209,60000,1,Teacher (secondary)
2210,20000,293,Teacher (secondary)
2211,80000,0,Teacher (secondary)
2212,60000,0,Teacher (special educational needs)
2213,80000,0,Teacher (special educational needs)
2214,20000,1,Teacher (special educational needs)
2215,100000,0,Teacher (special educational needs)
2216,140000,0,Teacher (special educational needs)
2217,120000,0,Teacher (special educational needs)
2218,40000,0,Teacher (special educational needs)
2219,120000,0,Teaching/classroom assistant
2220,40000,0,Teaching/classroom assistant
2221,100000,0,Teaching/classroom assistant
2222,80000,0,Teaching/classroom assistant
2223,140000,0,Teaching/classroom assistant
2224,20000,0,Teaching/classroom assistant
2225,60000,0,Teaching/classroom assistant
2226,80000,2,Technical author
2227,120000,5,Technical author
2228,20000,1,Technical author
2229,100000,8,Technical author
2230,60000,3,Technical author
2231,40000,1,Technical author
2232,140000,3,Technical author
2233,40000,0,Technical sales engineer
2234,120000,1,Technical sales engineer
2235,140000,9,Technical sales engineer
2236,100000,6,Technical sales engineer
2237,20000,0,Technical sales engineer
2238,80000,2,Technical sales engineer
2239,60000,2,Technical sales engineer
2240,80000,0,TEFL/TESL teacher
2241,140000,0,TEFL/TESL teacher
2242,20000,0,TEFL/TESL teacher
2243,60000,0,TEFL/TESL teacher
2244,120000,0,TEFL/TESL teacher
2245,40000,0,TEFL/TESL teacher
2246,100000,0,TEFL/TESL teacher
2247,140000,0,Television production assistant
2248,20000,0,Television production assistant
2249,80000,0,Television production assistant
2250,100000,0,Television production assistant
2251,60000,0,Television production assistant
2252,120000,0,Television production assistant
2253,40000,0,Television production assistant
2254,100000,2,Test automation developer
2255,140000,4,Test automation developer
2256,20000,0,Test automation developer
2257,120000,3,Test automation developer
2258,80000,3,Test automation developer
2259,60000,1,Test automation developer
2260,40000,0,Test automation developer
2261,100000,0,Tour guide
2262,140000,0,Tour guide
2263,20000,10,Tour guide
2264,120000,0,Tour guide
2265,60000,0,Tour guide
2266,80000,0,Tour guide
2267,40000,0,Tour guide
2268,20000,4,Tour operator
2269,140000,0,Tour operator
2270,100000,0,Tour operator
2271,40000,2,Tour operator
2272,80000,0,Tour operator
2273,60000,0,Tour operator
2274,120000,0,Tour operator
2275,80000,0,Tour/holiday representative
2276,60000,0,Tour/holiday representative
2277,40000,0,Tour/holiday representative
2278,120000,0,Tour/holiday representative
2279,140000,0,Tour/holiday representative
2280,20000,0,Tour/holiday representative
2281,100000,0,Tour/holiday representative
2282,80000,0,Tourism officer
2283,120000,0,Tourism officer
2284,60000,0,Tourism officer
2285,20000,0,Tourism officer
2286,100000,0,Tourism officer
2287,40000,0,Tourism officer
2288,140000,0,Tourism officer
2289,20000,0,Tourist information manager
2290,80000,0,Tourist information manager
2291,60000,0,Tourist information manager
2292,140000,0,Tourist information manager
2293,100000,0,Tourist information manager
2294,40000,0,Tourist information manager
2295,120000,0,Tourist information manager
2296,40000,0,Town and country planner
2297,80000,0,Town and country planner
2298,120000,0,Town and country planner
2299,60000,0,Town and country planner
2300,100000,0,Town and country planner
2301,20000,0,Town and country planner
2302,140000,0,Town and country planner
2303,140000,0,Toxicologist
2304,100000,0,Toxicologist
2305,120000,0,Toxicologist
2306,40000,0,Toxicologist
2307,60000,0,Toxicologist
2308,20000,0,Toxicologist
2309,80000,0,Toxicologist
2310,60000,0,Trade union official
2311,140000,0,Trade union official
2312,20000,0,Trade union official
2313,80000,0,Trade union official
2314,100000,0,Trade union official
2315,40000,0,Trade union official
2316,120000,0,Trade union official
2317,40000,0,Trade union research officer
2318,60000,0,Trade union research officer
2319,80000,0,Trade union research officer
2320,120000,0,Trade union research officer
2321,20000,0,Trade union research officer
2322,140000,0,Trade union research officer
2323,100000,0,Trade union research officer
2324,60000,9,Trader
2325,20000,22,Trader
2326,80000,6,Trader
2327,100000,0,Trader
2328,140000,20,Trader
2329,120000,2,Trader
2330,40000,6,Trader
2331,40000,0,Trading standards officer
2332,20000,0,Trading standards officer
2333,140000,0,Trading standards officer
2334,100000,0,Trading standards officer
2335,60000,0,Trading standards officer
2336,120000,0,Trading standards officer
2337,80000,0,Trading standards officer
2338,60000,0,Training and development officer
2339,20000,0,Training and development officer
2340,140000,0,Training and development officer
2341,80000,0,Training and development officer
2342,100000,0,Training and development officer
2343,40000,1,Training and development officer
2344,120000,0,Training and development officer
2345,60000,48,Translator
2346,120000,104,Translator
2347,20000,160,Translator
2348,40000,57,Translator
2349,80000,55,Translator
2350,100000,74,Translator
2351,140000,93,Translator
2352,100000,0,Transportation planner
2353,40000,0,Transportation planner
2354,120000,0,Transportation planner
2355,60000,0,Transportation planner
2356,20000,1,Transportation planner
2357,140000,0,Transportation planner
2358,80000,0,Transportation planner
2359,20000,14,Travel agent
2360,100000,0,Travel agent
2361,60000,2,Travel agent
2362,140000,0,Travel agent
2363,40000,3,Travel agent
2364,80000,0,Travel agent
2365,120000,0,Travel agent
2366,20000,0,TV/film/theatre set designer
2367,80000,0,TV/film/theatre set designer
